prior_type,model_type,condition_cb,cmpr,mean,median,sd,mad,q5,q95
new,intrvl,Diabetes,A10A_A10BJ,0.016610147253825,0.016540350000000002,0.020417419585055663,0.020123648559000003,-0.01709975,0.050162145
orig,intrvl,Diabetes,A10A_A10BJ,0.0162168943842475,0.0159206,0.021166014762324242,0.020699119749,-0.018412949999999997,0.05059362499999998
new,intrvl,Diabetes,A10A_A10BJ,-0.0071911225482075,-0.006628790000000001,0.060961484895724366,0.060867312744,-0.10545750000000001,0.09280441499999999
orig,intrvl,Diabetes,A10A_A10BJ,-0.008557026990225,-0.007820675,0.05926413758201035,0.05827151736,-0.1048502,0.08823913999999998
new,intrvl,Diabetes,A10A_A10BJ,-0.02133173532827,-0.0212004,0.026678006081156332,0.02639435715,-0.065403345,0.02119904999999997
orig,intrvl,Diabetes,A10A_A10BJ,-0.0217247353489225,-0.02206755,0.026341866138845208,0.026096777090999997,-0.06540261,0.02221143999999999
new,intrvl,Diabetes,A10A_A10BJ,0.0700886688147,0.07011134999999999,0.026641145729254107,0.027443519040000013,0.026163535,0.11401465000000001
orig,intrvl,Diabetes,A10A_A10BJ,0.07010319395925,0.07024944999999999,0.027889632174911173,0.028478003189999993,0.024878920000000006,0.1161914
new,intrvl,Diabetes,A10A_A10BJ,-0.0163235895413175,-0.01598695,0.026152684556563863,0.02660384853,-0.059875120000000004,0.025136189999999996
orig,intrvl,Diabetes,A10A_A10BJ,-0.01625555437378075,-0.016108400000000002,0.026268606712880786,0.026518680572999997,-0.05971941,0.02735747
new,intrvl,Diabetes,pu_A10BJ,0.08731016522225,0.086872,0.04224345135149269,0.04169464089000001,0.016373465,0.15767844999999997
orig,intrvl,Diabetes,pu_A10BJ,0.08668423290725,0.0866281,0.04259495855286903,0.04280622024,0.016733305000000004,0.1560315
new,intrvl,Diabetes,pu_A10BJ,-0.1762932330315,-0.176236,0.09568530852357647,0.0945342825,-0.3315883,-0.020678375000000013
orig,intrvl,Diabetes,pu_A10BJ,-0.17410113443885,-0.1724525,0.0967941362190638,0.09611325149999998,-0.3321684,-0.021157715000000032
new,intrvl,Diabetes,pu_A10BJ,0.09067029514115,0.09057319999999999,0.08607428678457896,0.08620407201000001,-0.04938529999999999,0.2324205999999999
orig,intrvl,Diabetes,pu_A10BJ,0.08818525616875,0.089198,0.08847181646179307,0.09024497243999999,-0.056666114999999996,0.23177684999999998
new,intrvl,Diabetes,pu_A10BJ,-0.15199774520875,-0.151841,0.05579105337728872,0.05506154010000001,-0.24522505,-0.06100152500000011
orig,intrvl,Diabetes,pu_A10BJ,-0.151309313746325,-0.151381,0.05406668281614649,0.05329576350000001,-0.24173409999999998,-0.061643650000000126
new,intrvl,Diabetes,pu_A10BJ,-0.019504751130375,-0.019354049999999998,0.06874938094673395,0.06921977705999999,-0.13169095,0.091565355
orig,intrvl,Diabetes,pu_A10BJ,-0.0206035690018575,-0.0198248,0.07020730983864487,0.07095731012999999,-0.13787225,0.09460372499999997
new,intrvl,Diabetes,pu_A10BK,0.00382413157182,0.00414065,0.0098601648035523,0.009190326054000001,-0.01256938,0.019134279999999997
orig,intrvl,Diabetes,pu_A10BK,0.003754470101945,0.00398451,0.009559174483390083,0.009130080603,-0.01171692,0.018939219999999996
new,intrvl,Diabetes,pu_A10BK,-0.0286126668495,-0.02842225,0.010390239792598864,0.009555431129999998,-0.045569620000000005,-0.012111280000000007
